zip,count
71069,1
95033,66
71067,4
71064,7
95035,269
71065,4
22015,111
71063,1
95030,80
71060,4
71061,1
95032,112
10033,18
10032,24
48640,53
10035,25
10034,10
10037,5
10036,109
10039,13
10038,68
48638,26
48637,8
48636,3
48635,6
10040,16
48634,8
48632,26
48631,10
71078,21
95023,239
71075,11
22025,80
22026,78
71073,4
22027,6
71071,10
95020,278
71072,3
71070,3
10044,16
61602,1
61603,41
61604,96
61610,17
61611,83
61614,102
61615,72
61605,36
61606,22
61607,38
73601,21
61616,18
73627,3
73626,2
73625,1
73624,3
73622,1
73620,5
85609,2
85607,56
85616,24
85617,6
85614,159
85615,33
85613,6
85610,3
85611,4
73632,13
58002,1
58001,1
58008,1
85605,3
46070,10
85606,6
85603,32
58009,1
58004,2
85602,37
58006,2
58005,2
46077,106
46075,39
46076,8
46074,186
46071,8
46072,22
73628,1
73647,5
73646,1
73645,5
73644,36
46068,9
46069,19
73642,2
58011,2
73641,1
58013,1
58012,3
85629,160
85638,4
58018,2
85637,7
58015,1
85634,1
85635,144
85632,3
85630,12
85631,14
46064,56
46065,9
46062,184
46063,1
46060,127
73639,2
97601,71
73655,2
97603,66
46058,8
58021,5
73651,9
73650,3
85618,4
85619,3
85625,12
85626,4
85623,22
85624,8
85621,37
58027,4
85622,44
46055,57
46056,10
85620,3
46051,11
46052,64
24813,1
12836,3
12837,3
36804,43
12834,13
12835,6
12838,2
12839,20
12832,7
12833,11
36801,64
12831,44
24827,1
12847,1
12845,13
12846,7
12849,1
12843,1
12844,3
12842,4
12809,8
12814,6
12815,7
12812,2
12816,18
12817,10
12810,3
12811,1
24801,1
12824,1
12827,10
12828,16
12821,1
12822,13
61801,25
61802,47
61811,1
61813,5
12803,24
12804,64
12801,41
12808,2
73801,48
61820,43
61821,77
61822,86
61814,1
61816,2
61817,7
61818,5
61830,2
61832,80
61833,6
61834,14
46206,1
46204,28
48867,63
46205,123
48866,8
46202,77
48865,7
46203,141
48864,41
46201,123
48862,1
34220,1
46208,77
34228,193
34224,236
34223,312
24892,1
34222,196
34221,487
48861,5
48860,3
34229,124
48858,73
48857,5
48856,2
48855,52
48854,37
48853,1
36870,68
48851,7
34217,109
34216,30
34215,15
34212,383
34211,336
34210,170
48850,10
36874,23
36875,11
36877,54
34219,452
36879,7
48847,8
48846,50
48845,3
48843,113
48842,43
48841,1
36860,2
48840,18
24872,1
24874,2
22213,8
22214,1
48849,14
48848,24
36869,49
34205,217
34203,381
34202,569
34201,75
24870,1
36861,15
36862,10
36863,21
34209,374
36866,9
34208,244
36867,43
34207,248
48836,42
48835,2
48834,4
48832,1
48831,4
48830,1
48838,25
24888,1
48837,34
36858,1
36850,6
36852,2
36853,39
36854,39
36855,5
36856,24
48825,1
24857,1
48824,2
48823,70
48822,3
48821,7
48820,37
48829,7
48827,44
12878,1
12873,3
12870,9
12871,7
12874,1
22206,53
22207,80
24868,1
48813,51
22209,27
48811,7
24860,1
22201,94
48819,3
22202,59
48818,3
22203,50
48817,11
22204,83
22205,32
48815,4
12883,21
36830,91
12887,9
36832,63
12885,12
12886,1
48801,28
48809,23
48808,9
48807,2
48806,3
12859,6
12856,1
12857,3
12850,13
12854,1
12855,2
12852,2
12853,5
24847,1
24844,4
12861,4
12862,1
12865,5
12866,86
12863,1
10203,1
71129,30
97759,33
97754,66
46167,29
46168,123
97756,104
97753,12
83118,1
22191,199
22192,179
22193,289
83114,2
83113,4
83116,1
85775,1
83115,1
46165,6
83110,20
46166,6
46163,43
83112,2
46164,26
46161,9
46162,1
46160,23
46158,78
46156,1
46157,22
97741,26
46155,1
83101,3
46150,1
46151,106
95118,113
95119,42
46149,6
46147,5
46148,18
95116,105
46146,2
95117,66
95110,50
95111,167
95112,129
95113,10
22172,33
46143,212
10199,1
46142,117
46140,140
46135,58
97761,3
97760,29
22180,53
83128,4
22181,25
22182,72
83127,12
83126,1
46133,2
83120,3
46130,9
83123,2
46131,103
46127,1
46128,8
95136,177
46126,13
46123,151
95138,86
46124,20
95139,23
95132,183
34142,115
95133,102
34141,2
95134,91
34140,3
95135,114
95130,45
95131,97
22150,63
22151,59
22152,91
34145,340
22153,90
46121,23
46122,49
46120,6
46118,14
95129,161
36790,1
46117,3
95125,211
36792,2
46115,4
95126,111
36793,1
46112,167
95127,202
46113,60
